tweet_id,timestamp,text
1862164253269958845,2024-11-28 15:58:49+00:00,"RT @LinaRhrissi: Pendant 6 mois, j’ai enquêté sur une brigade spécialisée dans la lutte contre la contrefaçon aux puces de Saint-Ouen qui e…"
1862164253165408663,2024-11-28 15:58:49+00:00,"RT @morico_planet: 📡&lt;PUIPUI電波デス！！
最高コーラ、鬱先生、ちーのが映画『PUI PUI #モルカー ザ・ムービー #MOLMAX』AIモルカーの声を担当しまシタ！！
明日11.29(金)公開とのことデス！！

詳細は公式サイトを確認してくだサイ！！"
1862164253131592151,2024-11-28 15:58:49+00:00,Gloria Groove e Cabelinho... Ai https://t.co/NNbCq3JvxE
1862164253047730501,2024-11-28 15:58:49+00:00,"🚀🔥 #Optimism Аirdrop is on the way! 🪂 

➜ https://t.co/GkyC4WL9nI

🌟 $OP

@hunthleahl @kpiladalec68328 @SawatLayuheem @KKampywtr @passed1942 @AI_rats_
pJblN"
1862164252976443861,2024-11-28 15:58:49+00:00,"RT @SuperDappAI: Transform education into an interactive adventure with AIDA, your #AI companion 🤖

Tailor lessons to your needs, inspire c…"
1862164252787724524,2024-11-28 15:58:49+00:00,"acho completamente normal você não querer comprar briga de amigos, mas ser amigo de qualquer um desses é ser conivente com as atitudes ridículas desses aí que já foram expostas aqui diversas vezes"
1862164252745683297,2024-11-28 15:58:49+00:00,"""courage de voter la réforme !""
ils se foutent de notre gueule !
et ça passe crème, notamment chez LCP !
j'ai la haine ! https://t.co/J7Dv4Habve"
1862164252590579726,2024-11-28 15:58:49+00:00,"RT @TearlineAI: Tearline’s AI DEX Just Leveled Up! 🦉  

Every swap you make now earns you Compute—fueling your rewards. The higher your Nod…"
1862164252317851994,2024-11-28 15:58:49+00:00,@noel_introvert @Overdose_AI We love girls
1862164252175270147,2024-11-28 15:58:49+00:00,"RT @immorriv: Terminal of Truth 2.0: The ""True"" AI Meme Manifesto

Welcome to the AI-crypto revolution, where it’s not just about “meme coi…"
